node_id,unique_id,name,ion_class,copies
105,20212_kca-ID-1,20212_kca-ID-1,KCa,8
109,123815_gskch-ID-1,123815_gskch-ID-1,KCa,6
126,20212_cagk-ID-1,20212_cagk-ID-1,KCa,7
261,144089_kca-ID-1,144089_kca-ID-1,KCa,1
262,144089_kct-ID-1,144089_kct-ID-1,KCa,1
321,80769_CaBK-ID-1,80769_CaBK-ID-1,KCa,1
332,151460_sKCa-ID-1,151460_sKCa-ID-1,KCa,1
347,64195_kca-ID-1,64195_kca-ID-1,KCa,13
350,135787_iahp2-ID-1,135787_iahp2-ID-1,KCa,1
351,135787_iahp-ID-1,135787_iahp-ID-1,KCa,1
370,112834_bkkca-ID-1,112834_bkkca-ID-1,KCa,2
384,112834_skkca-ID-1,112834_skkca-ID-1,KCa,1
429,3509_cagk-ID-1,3509_cagk-ID-1,KCa,2
443,97917_kahp-ID-1,97917_kahp-ID-1,KCa,3
444,97917_kahp_deeppyr-ID-1,97917_kahp_deeppyr-ID-1,KCa,2
459,97917_kahp_slower-ID-1,97917_kahp_slower-ID-1,KCa,2
463,97917_kc_fast-ID-1,97917_kc_fast-ID-1,KCa,2
474,97917_kc-ID-1,97917_kc-ID-1,KCa,3
477,64229_gskch-ID-1,64229_gskch-ID-1,KCa,5
483,51781_CaBK-ID-1,51781_CaBK-ID-1,KCa,6
494,155057_kct-ID-1,155057_kct-ID-1,KCa,3
516,113446_sk-ID-1,113446_sk-ID-1,KCa,1
602,20007_KahpM95-ID-1,20007_KahpM95-ID-1,KCa,1
611,101629_cagk-ID-1,101629_cagk-ID-1,KCa,17
656,3808_iahp2-ID-1,3808_iahp2-ID-1,KCa,1
671,114637_ic-ID-1,114637_ic-ID-1,KCa,1
677,144523_SK-ID-1,144523_SK-ID-1,KCa,3
703,17664_KC3-ID-1,17664_KC3-ID-1,KCa,1
704,17664_KC2-ID-1,17664_KC2-ID-1,KCa,1
708,17664_K23-ID-1,17664_K23-ID-1,KCa,1
709,17664_K22-ID-1,17664_K22-ID-1,KCa,1
716,17664_K2-ID-1,17664_K2-ID-1,KCa,1
719,17664_KC-ID-1,17664_KC-ID-1,KCa,1
760,119266_kca-ID-1,119266_kca-ID-1,KCa,1
764,119266_ic-ID-1,119266_ic-ID-1,KCa,1
795,149100_SK_E2-ID-1,149100_SK_E2-ID-1,KCa,78
860,101629_KahpM95-ID-1,101629_KahpM95-ID-1,KCa,9
886,84612_kca-ID-1,84612_kca-ID-1,KCa,2
921,120910_gkcadend-ID-1,120910_gkcadend-ID-1,KCa,1
944,102288_IKCa-ID-1,102288_IKCa-ID-1,KCa,1
976,97860_sk_dop-ID-1,97860_sk_dop-ID-1,KCa,1
991,97860_bk_dop-ID-1,97860_bk_dop-ID-1,KCa,1
992,123897_kca-ID-1,123897_kca-ID-1,KCa,4
1049,51781_gskch-ID-1,51781_gskch-ID-1,KCa,2
1052,124513_CaBK-ID-1,124513_CaBK-ID-1,KCa,1
1109,82784_Kc-ID-1,82784_Kc-ID-1,KCa,1
1115,20756_kahp-ID-1,20756_kahp-ID-1,KCa,3
1182,53876_ahp-ID-1,53876_ahp-ID-1,KCa,1
1243,112685_Golgi_SK2-ID-1,112685_Golgi_SK2-ID-1,KCa,2
1252,116835_GRC_KCA-ID-1,116835_GRC_KCA-ID-1,KCa,4
1258,112685_Golgi_BK-ID-1,112685_Golgi_BK-ID-1,KCa,2
1264,144450_kca-ID-1,144450_kca-ID-1,KCa,1
1266,144450_kct-ID-1,144450_kct-ID-1,KCa,1
1285,143719_kca-ID-1,143719_kca-ID-1,KCa,3
1336,128559_iKCa-ID-1,128559_iKCa-ID-1,KCa,2
1344,2730_kca-ID-1,2730_kca-ID-1,KCa,3
1370,153280_ch_KvCaB-ID-1,153280_ch_KvCaB-ID-1,KCa,1
1376,153280_ch_KCaS-ID-1,153280_ch_KCaS-ID-1,KCa,1
1450,138382_mslo-ID-1,138382_mslo-ID-1,KCa,1
1459,138382_SK2-ID-1,138382_SK2-ID-1,KCa,1
1463,3808_ic-ID-1,3808_ic-ID-1,KCa,5
1504,144385_kca-ID-1,144385_kca-ID-1,KCa,2
1606,121060_chan_SKKCa-ID-1,121060_chan_SKKCa-ID-1,KCa,1
1611,121060_chan_BKKCa-ID-1,121060_chan_BKKCa-ID-1,KCa,1
1633,116096_kca-ID-1,116096_kca-ID-1,KCa,1
1778,140249_iahp-ID-1,140249_iahp-ID-1,KCa,1
1829,64228_Kca-ID-1,64228_Kca-ID-1,KCa,1
1848,12631_IAHP_destexhe-ID-1,12631_IAHP_destexhe-ID-1,KCa,1
1886,48332_bkpkj-ID-1,48332_bkpkj-ID-1,KCa,1
1929,114359_kca-ID-1,114359_kca-ID-1,KCa,1
1969,3263_kahp-ID-1,3263_kahp-ID-1,KCa,4
1971,3263_cagk-ID-1,3263_cagk-ID-1,KCa,3
2062,53451_kca-ID-1,53451_kca-ID-1,KCa,1
2093,139421_kcaolmw-ID-1,139421_kcaolmw-ID-1,KCa,3
2097,135902_kahppr-ID-1,135902_kahppr-ID-1,KCa,6
2099,135902_kcpr-ID-1,135902_kcpr-ID-1,KCa,6
2143,52034_kca-ID-1,52034_kca-ID-1,KCa,2
2160,64229_kcRT03-ID-1,64229_kcRT03-ID-1,KCa,1
2177,64229_kcRT03-ID-2,64229_kcRT03-ID-2,KCa,1
2184,149739_KCa-ID-1,149739_KCa-ID-1,KCa,2
2211,150284_skkca-ID-1,150284_skkca-ID-1,KCa,1
2254,2733_kca3-ID-1,2733_kca3-ID-1,KCa,1
2277,115356_KCT-ID-1,115356_KCT-ID-1,KCa,2
2279,115356_KAHP-ID-1,115356_KAHP-ID-1,KCa,2
2294,151443_mAHP-ID-1,151443_mAHP-ID-1,KCa,1
2311,9889_IAHP_destexhe-ID-1,9889_IAHP_destexhe-ID-1,KCa,1
2333,135902_kcaolmw-ID-1,135902_kcaolmw-ID-1,KCa,3
2358,46839_Grc_kca-ID-1,46839_Grc_kca-ID-1,KCa,1
2366,143671_mAHP-ID-1,143671_mAHP-ID-1,KCa,4
2369,143671_kca2-ID-1,143671_kca2-ID-1,KCa,3
2395,2487_kca3-ID-1,2487_kca3-ID-1,KCa,2
2469,116740_CadepK-ID-1,116740_CadepK-ID-1,KCa,1
