node_id,unique_id,name,ion_class,copies
645,169457_K_Tst-ID-1,169457_K_Tst-ID-1,K,8
646,169457_Im-ID-1,169457_Im-ID-1,K,8
649,169457_K_Pst-ID-1,169457_K_Pst-ID-1,K,8
674,114637_iap-ID-1,114637_iap-ID-1,K,1
682,144523_fKdr-ID-1,144523_fKdr-ID-1,K,3
687,144523_sKdr-ID-1,144523_sKdr-ID-1,K,3
691,3507_fh-ID-1,3507_fh-ID-1,K,2
692,101629_km-ID-1,101629_km-ID-1,K,4
695,101629_kaprox-ID-1,101629_kaprox-ID-1,K,3
696,101629_kdrca1-ID-1,101629_kdrca1-ID-1,K,4
699,17664_KM-ID-1,17664_KM-ID-1,K,1
701,17664_Kh-ID-1,17664_Kh-ID-1,K,1
707,17664_Kdr-ID-1,17664_Kdr-ID-1,K,1
714,17664_Khh-ID-1,17664_Khh-ID-1,K,1
715,17664_KD-ID-1,17664_KD-ID-1,K,1
717,17664_KA-ID-1,17664_KA-ID-1,K,3
720,112834_kir-ID-1,112834_kir-ID-1,K,5
738,7907_km-ID-1,7907_km-ID-1,K,1
750,7907_kaprox-ID-2,7907_kaprox-ID-2,K,8
752,7907_kadist-ID-2,7907_kadist-ID-2,K,2
761,119266_km-ID-1,119266_km-ID-1,K,1
763,119266_KdBG-ID-1,119266_KdBG-ID-1,K,1
767,119266_hha2-ID-1,119266_hha2-ID-1,K,1
768,119266_hha_old-ID-1,119266_hha_old-ID-1,K,1
771,119266_kaprox-ID-1,119266_kaprox-ID-1,K,1
775,119266_kadist-ID-1,119266_kadist-ID-1,K,1
778,28316_IA-ID-1,28316_IA-ID-1,K,4
779,28316_Kaxon-ID-1,28316_Kaxon-ID-1,K,1
782,28316_Kdend-ID-1,28316_Kdend-ID-1,K,1
784,28316_Ksoma-ID-1,28316_Ksoma-ID-1,K,1
790,149100_SKv3_1-ID-1,149100_SKv3_1-ID-1,K,76
805,149100_K_Tst-ID-1,149100_K_Tst-ID-1,K,74
807,117207_IL-ID-1,117207_IL-ID-1,K,3
808,156780_Im-ID-1,156780_Im-ID-1,K,74
809,117207_kv-ID-1,117207_kv-ID-1,K,3
817,149100_K_Pst-ID-1,149100_K_Pst-ID-1,K,74
861,101629_kd-ID-1,101629_kd-ID-1,K,4
898,189154_km-ID-1,189154_km-ID-1,K,1
905,185858_kdr-ID-1,185858_kdr-ID-1,K,1
914,185858_kap-ID-1,185858_kap-ID-1,K,1
916,185858_kdmc-ID-1,185858_kdmc-ID-1,K,1
919,3289_kslow-ID-1,3289_kslow-ID-1,K,1
920,3289_kfast-ID-1,3289_kfast-ID-1,K,1
923,120910_kadend-ID-1,120910_kadend-ID-1,K,1
926,120910_ikhhdend-ID-1,120910_ikhhdend-ID-1,K,1
927,3454_ht-ID-1,3454_ht-ID-1,K,1
931,3454_lt-ID-1,3454_lt-ID-1,K,1
935,102288_Ikleaksd-ID-1,102288_Ikleaksd-ID-1,K,2
936,102288_Ikdrs-ID-1,102288_Ikdrs-ID-1,K,2
937,102288_Ikdrf-ID-1,102288_Ikdrf-ID-1,K,2
938,102288_IMmintau-ID-1,102288_IMmintau-ID-1,K,1
943,102288_IKa-ID-1,102288_IKa-ID-1,K,6
945,102288_Ikleakaxon-ID-1,102288_Ikleakaxon-ID-1,K,1
946,102288_Ikdrsaxon-ID-1,102288_Ikdrsaxon-ID-1,K,1
948,102288_Ikdrfaxon-ID-1,102288_Ikdrfaxon-ID-1,K,1
951,102288_IMminret-ID-1,102288_IMminret-ID-1,K,1
968,147218_kdr-ID-1,147218_kdr-ID-1,K,1
969,147218_gksub-ID-1,147218_gksub-ID-1,K,1
979,97860_kv2_hh-ID-1,97860_kv2_hh-ID-1,K,1
985,97860_kv4hh-ID-1,97860_kv4hh-ID-1,K,1
988,97860_kv2_simplehh-ID-1,97860_kv2_simplehh-ID-1,K,1
990,97860_kv1_gp-ID-1,97860_kv1_gp-ID-1,K,1
994,123897_km-ID-1,123897_km-ID-1,K,3
1002,123897_kv-ID-1,123897_kv-ID-1,K,4
1033,20212_kap-ID-1,20212_kap-ID-1,K,4
1034,20212_kad-ID-1,20212_kad-ID-1,K,4
1041,229585_Kir23-ID-1,229585_Kir23-ID-1,K,6
1047,229585_Kv33-ID-1,229585_Kv33-ID-1,K,2
1053,121253_axnodenew2-ID-1,121253_axnodenew2-ID-1,K,1
1056,121253_fastK-ID-1,121253_fastK-ID-1,K,1
1059,2488_km-ID-1,2488_km-ID-1,K,3
1062,2488_kv-ID-1,2488_kv-ID-1,K,8
1079,6763_leak-ID-1,6763_leak-ID-1,K,1
1084,6763_delay-ID-1,6763_delay-ID-1,K,1
1086,87454_kht-ID-1,87454_kht-ID-1,K,1
1094,2798_kaprox-ID-1,2798_kaprox-ID-1,K,1
1098,82784_KdrIN-ID-1,82784_KdrIN-ID-1,K,1
1100,82784_Kdr-ID-1,82784_Kdr-ID-1,K,1
1106,82784_Ks-ID-1,82784_Ks-ID-1,K,1
