node_id,unique_id,name,ion_class,copies
24,50210_naxn-ID-1,50210_naxn-ID-1,Na,7
28,184182_NaTs-ID-1,184182_NaTs-ID-1,Na,49
31,184319_NaTa-ID-1,184319_NaTa-ID-1,Na,49
33,184344_Nap-ID-1,184344_Nap-ID-1,Na,49
60,7399_naf-ID-1,7399_naf-ID-1,Na,1
122,123815_Naaxon-ID-1,123815_Naaxon-ID-1,Na,6
127,123815_Nadend-ID-1,123815_Nadend-ID-1,Na,6
135,20212_nap-ID-1,20212_nap-ID-1,Na,3
143,123815_Nasoma-ID-1,123815_Nasoma-ID-1,Na,6
183,222321_inad-ID-1,222321_inad-ID-1,Na,1
184,222321_inas-ID-1,222321_inas-ID-1,Na,1
193,222321_pnas-ID-1,222321_pnas-ID-1,Na,1
194,222321_pnad-ID-1,222321_pnad-ID-1,Na,1
239,62285_B_NA-ID-1,62285_B_NA-ID-1,Na,1
240,62285_SS-ID-1,62285_SS-ID-1,Na,1
241,229585_Nav16-ID-1,229585_Nav16-ID-1,Na,4
271,144089_nap-ID-1,144089_nap-ID-1,Na,1
275,230811_naf_in-ID-1,230811_naf_in-ID-1,Na,1
286,32992_na3n-ID-1,32992_na3n-ID-1,Na,5
287,32992_naxn-ID-1,32992_naxn-ID-1,Na,12
294,222716_naslow-ID-1,222716_naslow-ID-1,Na,1
300,222716_nafast-ID-1,222716_nafast-ID-1,Na,1
313,80769_Narsg-ID-1,80769_Narsg-ID-1,Na,1
317,80769_Na-ID-1,80769_Na-ID-1,Na,1
325,151460_Na-ID-1,151460_Na-ID-1,Na,1
329,151460_NaL-ID-1,151460_NaL-ID-1,Na,1
340,124291_na3n-ID-1,124291_na3n-ID-1,Na,1
346,124291_fna-ID-1,124291_fna-ID-1,Na,1
354,135787_na-ID-1,135787_na-ID-1,Na,4
377,151458_naf-ID-1,151458_naf-ID-1,Na,1
378,112834_nap-ID-1,112834_nap-ID-1,Na,2
395,151404_hh3na-ID-1,151404_hh3na-ID-1,Na,1
420,55035_na3n-ID-1,55035_na3n-ID-1,Na,18
421,55035_naxn-ID-1,55035_naxn-ID-1,Na,18
437,183949_naps-ID-1,183949_naps-ID-1,Na,3
445,144579_naf2-ID-1,144579_naf2-ID-1,Na,1
448,97917_napf_tcr-ID-1,97917_napf_tcr-ID-1,Na,2
451,97917_napf_spinstell-ID-1,97917_napf_spinstell-ID-1,Na,2
455,144579_naf_tcr-ID-1,144579_naf_tcr-ID-1,Na,1
457,144579_naf-ID-1,144579_naf-ID-1,Na,1
458,144579_nap-ID-1,144579_nap-ID-1,Na,1
465,97917_napf-ID-1,97917_napf-ID-1,Na,2
486,144541_na3n-ID-1,144541_na3n-ID-1,Na,1
487,144541_naxn-ID-1,144541_naxn-ID-1,Na,1
499,168310_naf-ID-1,168310_naf-ID-1,Na,3
500,82849_nap-ID-1,82849_nap-ID-1,Na,4
510,2796_na3-ID-1,2796_na3-ID-1,Na,9
520,113446_na-ID-1,113446_na-ID-1,Na,1
526,113446_nap-ID-1,113446_nap-ID-1,Na,1
554,127995_naxn-ID-1,127995_naxn-ID-1,Na,3
599,20007_NaM99SL-ID-1,20007_NaM99SL-ID-1,Na,1
621,222726_naslowcond2-ID-1,222726_naslowcond2-ID-1,Na,1
622,222726_nafast2-ID-1,222726_nafast2-ID-1,Na,1
628,136309_naf_Traub-ID-1,136309_naf_Traub-ID-1,Na,1
632,136309_naf_Jonas-ID-1,136309_naf_Jonas-ID-1,Na,1
633,136309_naf_Yu-ID-1,136309_naf_Yu-ID-1,Na,1
642,169457_Nap_Et2-ID-1,169457_Nap_Et2-ID-1,Na,8
643,169457_NaTa_t-ID-1,169457_NaTa_t-ID-1,Na,8
683,144523_NaF-ID-1,144523_NaF-ID-1,Na,3
684,144523_NaP-ID-1,144523_NaP-ID-1,Na,3
694,101629_na3n-ID-1,101629_na3n-ID-1,Na,4
698,62284_B_NA-ID-1,62284_B_NA-ID-1,Na,1
710,17664_NaF-ID-1,17664_NaF-ID-1,Na,1
711,17664_NaP-ID-1,17664_NaP-ID-1,Na,1
742,7907_naz_nature-ID-1,7907_naz_nature-ID-1,Na,5
759,18742_Na_cglc-ID-1,18742_Na_cglc-ID-1,Na,1
769,119266_nap-ID-1,119266_nap-ID-1,Na,1
780,28316_Naaxon-ID-1,28316_Naaxon-ID-1,Na,1
781,28316_Nadend-ID-1,28316_Nadend-ID-1,Na,1
785,28316_Nasoma-ID-1,28316_Nasoma-ID-1,Na,1
798,149100_Nap_Et2-ID-1,149100_Nap_Et2-ID-1,Na,73
802,180373_NaTa_t-ID-1,180373_NaTa_t-ID-1,Na,72
867,149739_Naxn-ID-1,149739_Naxn-ID-1,Na,2
902,189154_nax-ID-1,189154_nax-ID-1,Na,1
922,120910_nadend-ID-1,120910_nadend-ID-1,Na,1
929,139657_sjg_na-ID-1,139657_sjg_na-ID-1,Na,1
940,102288_Naaxon-ID-1,102288_Naaxon-ID-1,Na,1
942,102288_Nadend-ID-1,102288_Nadend-ID-1,Na,1
949,102288_Nasoma-ID-1,102288_Nasoma-ID-1,Na,6
970,147218_rsg-ID-1,147218_rsg-ID-1,Na,1
977,97860_nahh-ID-1,97860_nahh-ID-1,Na,1
993,123897_na16-ID-1,123897_na16-ID-1,Na,3
996,123897_na12-ID-1,123897_na12-ID-1,Na,3
997,123897_na-ID-1,123897_na-ID-1,Na,3
1011,168310_nafcr-ID-1,168310_nafcr-ID-1,Na,6
1026,115356_Nap-ID-1,115356_Nap-ID-1,Na,2
1060,2488_na-ID-1,2488_na-ID-1,Na,6
