node_id,unique_id,name,ion_class,copies
129,123815_hNa-ID-1,123815_hNa-ID-1,Ih,4
136,20212_h-ID-1,20212_h-ID-1,Ih,4
145,28316_Ih-ID-1,28316_Ih-ID-1,Ih,7
203,95870_hyper-ID-1,95870_hyper-ID-1,Ih,1
274,144089_h-ID-1,144089_h-ID-1,Ih,5
288,44050_h-ID-1,44050_h-ID-1,Ih,26
322,80769_Ih-ID-1,80769_Ih-ID-1,Ih,1
339,151460_Ih-ID-1,151460_Ih-ID-1,Ih,1
461,97917_ar-ID-1,97917_ar-ID-1,Ih,2
481,51781_hyperde3-ID-1,51781_hyperde3-ID-1,Ih,6
488,144541_h-ID-1,144541_h-ID-1,Ih,1
492,118098_hca3-ID-1,118098_hca3-ID-1,Ih,1
604,20007_KhdM01-ID-1,20007_KhdM01-ID-1,Ih,1
637,19176_hcn2-ID-1,19176_hcn2-ID-1,Ih,1
648,169457_Ih-ID-1,169457_Ih-ID-1,Ih,8
675,144523_TNC-ID-1,144523_TNC-ID-1,Ih,3
686,144523_h-ID-1,144523_h-ID-1,Ih,3
741,3677_iqq-ID-1,3677_iqq-ID-1,Ih,2
770,119266_h-ID-1,119266_h-ID-1,Ih,1
933,139657_sjg_ih-ID-1,139657_sjg_ih-ID-1,Ih,1
952,102288_Ih-ID-1,102288_Ih-ID-1,Ih,1
974,97860_hcn_siegelbaum-ID-1,97860_hcn_siegelbaum-ID-1,Ih,1
1028,123815_h-ID-1,123815_h-ID-1,Ih,3
1088,87454_ih-ID-1,87454_ih-ID-1,Ih,1
1124,168858_hcurrent-ID-1,168858_hcurrent-ID-1,Ih,1
1155,150239_hcn-ID-1,150239_hcn-ID-1,Ih,2
1183,53876_h-ID-1,53876_h-ID-1,Ih,1
1189,2937_iq-ID-1,2937_iq-ID-1,Ih,1
1206,149100_Ih-ID-1,149100_Ih-ID-1,Ih,75
1208,82364_h-ID-1,82364_h-ID-1,Ih,1
1246,112685_Golgi_hcn1-ID-1,112685_Golgi_hcn1-ID-1,Ih,2
1250,112685_Golgi_hcn2-ID-1,112685_Golgi_hcn2-ID-1,Ih,2
1277,144450_h-ID-1,144450_h-ID-1,Ih,1
1299,151126_h-ID-1,151126_h-ID-1,Ih,1
1311,112359_IhDA-ID-1,112359_IhDA-ID-1,Ih,1
1316,19696_h-ID-1,19696_h-ID-1,Ih,1
1319,64229_hyperde3-ID-1,64229_hyperde3-ID-1,Ih,1
1380,153280_ch_HCNp-ID-1,153280_ch_HCNp-ID-1,Ih,1
1405,185355_HCN-ID-1,185355_HCN-ID-1,Ih,1
1484,180789_hpkj-ID-1,180789_hpkj-ID-1,Ih,1
1495,180789_cha-ID-1,180789_cha-ID-1,Ih,1
1541,168310_hin-ID-1,168310_hin-ID-1,Ih,8
1677,7659_h-ID-1,7659_h-ID-1,Ih,1
1764,114394_h-ID-1,114394_h-ID-1,Ih,1
1774,187615_ih-ID-1,187615_ih-ID-1,Ih,1
1782,140249_iar-ID-1,140249_iar-ID-1,Ih,1
1833,64228_h-ID-1,64228_h-ID-1,Ih,1
1889,155735_ihpkj_cn-ID-1,155735_ihpkj_cn-ID-1,Ih,1
1890,48332_ihpkj-ID-1,48332_ihpkj-ID-1,Ih,1
1940,156120_h_chann-ID-1,156120_h_chann-ID-1,Ih,1
1972,147867_h-ID-1,147867_h-ID-1,Ih,1
2015,20756_ar-ID-1,20756_ar-ID-1,Ih,4
2048,124063_Cone_ih-ID-1,124063_Cone_ih-ID-1,Ih,1
2053,124063_Bip_ih-ID-1,124063_Bip_ih-ID-1,Ih,1
2106,135902_ihpyrkop-ID-1,135902_ihpyrkop-ID-1,Ih,6
2109,135902_iholmkop-ID-1,135902_iholmkop-ID-1,Ih,6
2111,139421_iholmw-ID-1,139421_iholmw-ID-1,Ih,1
2118,139421_CA1ih-ID-1,139421_CA1ih-ID-1,Ih,1
2135,64216_h-ID-1,64216_h-ID-1,Ih,1
2186,149739_hpg-ID-1,149739_hpg-ID-1,Ih,2
2215,101629_h-ID-1,101629_h-ID-1,Ih,7
2259,116983_h-ID-1,116983_h-ID-1,Ih,1
2288,115356_h-ID-1,115356_h-ID-1,Ih,2
2342,135902_iholmw-ID-1,135902_iholmw-ID-1,Ih,3
2346,135902_CA1ih-ID-1,135902_CA1ih-ID-1,Ih,3
2368,143671_ghchan-ID-1,143671_ghchan-ID-1,Ih,1
2398,64296_Ih-ID-1,64296_Ih-ID-1,Ih,2
2503,123453_HCN-ID-1,123453_HCN-ID-1,Ih,1
