node_id,unique_id,name,ion_class,copies
29,184171_Ca_LVA-ID-1,184171_Ca_LVA-ID-1,Ca,49
30,184202_Ca_HVA-ID-1,184202_Ca_HVA-ID-1,Ca,49
48,3533_cat_thal-ID-1,3533_cat_thal-ID-1,Ca,1
49,19920_ca_a1g-ID-1,19920_ca_a1g-ID-1,Ca,1
50,19920_ca_a1i-ID-1,19920_ca_a1i-ID-1,Ca,1
51,19920_ca_a1h-ID-1,19920_ca_a1h-ID-1,Ca,1
104,20212_calH-ID-1,20212_calH-ID-1,Ca,7
108,20212_cat-ID-1,20212_cat-ID-1,Ca,6
112,20212_somacar-ID-1,20212_somacar-ID-1,Ca,7
116,20212_car-ID-1,20212_car-ID-1,Ca,7
125,51781_nca-ID-1,51781_nca-ID-1,Ca,13
146,20212_cal-ID-1,20212_cal-ID-1,Ca,7
147,51781_LcaMig-ID-1,51781_LcaMig-ID-1,Ca,14
204,95870_Ca-ID-1,95870_Ca-ID-1,Ca,2
251,229585_Cav3_1-ID-1,229585_Cav3_1-ID-1,Ca,4
260,116835_GRC_CA-ID-1,116835_GRC_CA-ID-1,Ca,10
264,144089_cat-ID-1,144089_cat-ID-1,Ca,5
267,144089_car-ID-1,144089_car-ID-1,Ca,1
282,144450_can-ID-1,144450_can-ID-1,Ca,2
284,230811_cal-ID-1,230811_cal-ID-1,Ca,1
311,279_ITGHK-ID-1,279_ITGHK-ID-1,Ca,1
315,80769_CaP-ID-1,80769_CaP-ID-1,Ca,1
324,151460_CaT-ID-1,151460_CaT-ID-1,Ca,1
328,151460_HVA-ID-1,151460_HVA-ID-1,Ca,1
356,108458_CaH-ID-1,108458_CaH-ID-1,Ca,14
359,135787_caL3d-ID-1,135787_caL3d-ID-1,Ca,1
367,151458_cat-ID-1,151458_cat-ID-1,Ca,1
371,151458_caq-ID-1,151458_caq-ID-1,Ca,1
372,112834_car-ID-1,112834_car-ID-1,Ca,2
380,151458_caL13-ID-1,151458_caL13-ID-1,Ca,1
383,151458_can-ID-1,151458_can-ID-1,Ca,1
387,151458_caL-ID-1,151458_caL-ID-1,Ca,1
442,97917_cat-ID-1,97917_cat-ID-1,Ca,2
447,97917_cat_a-ID-1,97917_cat_a-ID-1,Ca,2
473,97917_cal-ID-1,97917_cal-ID-1,Ca,3
479,51781_tca-ID-1,51781_tca-ID-1,Ca,7
495,168310_car-ID-1,168310_car-ID-1,Ca,3
505,155057_can-ID-1,155057_can-ID-1,Ca,3
507,144450_cal-ID-1,144450_cal-ID-1,Ca,4
518,113446_it-ID-1,113446_it-ID-1,Ca,1
536,113446_cal2-ID-1,113446_cal2-ID-1,Ca,1
597,20007_CAlM95-ID-1,20007_CAlM95-ID-1,Ca,1
598,20007_CAtM95-ID-1,20007_CAtM95-ID-1,Ca,1
601,20007_CAnM95-ID-1,20007_CAnM95-ID-1,Ca,1
608,101629_cat-ID-1,101629_cat-ID-1,Ca,14
610,101629_can2-ID-1,101629_can2-ID-1,Ca,17
616,101629_cal2-ID-1,101629_cal2-ID-1,Ca,15
639,169457_Ca_LVAst-ID-1,169457_Ca_LVAst-ID-1,Ca,8
644,169457_Ca_HVA-ID-1,169457_Ca_HVA-ID-1,Ca,8
662,3808_il-ID-1,3808_il-ID-1,Ca,6
672,114637_ical-ID-1,114637_ical-ID-1,Ca,1
676,144523_CaHVA-ID-1,144523_CaHVA-ID-1,Ca,3
679,144523_CaLVA-ID-1,144523_CaLVA-ID-1,Ca,3
700,17664_CaT-ID-1,17664_CaT-ID-1,Ca,1
702,17664_CaP-ID-1,17664_CaP-ID-1,Ca,1
705,17664_CaE-ID-1,17664_CaE-ID-1,Ca,1
706,17664_CaP2-ID-1,17664_CaP2-ID-1,Ca,1
724,112834_caq-ID-1,112834_caq-ID-1,Ca,2
743,7907_ca-ID-1,7907_ca-ID-1,Ca,1
762,119266_cat-ID-1,119266_cat-ID-1,Ca,1
766,119266_car-ID-1,119266_car-ID-1,Ca,1
774,119266_can-ID-1,119266_can-ID-1,Ca,1
776,119266_cal-ID-1,119266_cal-ID-1,Ca,1
791,149100_Ca_LVAst-ID-1,149100_Ca_LVAst-ID-1,Ca,74
803,149100_Ca_HVA-ID-1,149100_Ca_HVA-ID-1,Ca,13
899,189154_cat-ID-1,189154_cat-ID-1,Ca,1
913,189154_can-ID-1,189154_can-ID-1,Ca,1
918,189154_cal-ID-1,189154_cal-ID-1,Ca,1
925,120910_cachdend-ID-1,120910_cachdend-ID-1,Ca,1
930,139657_lva-ID-1,139657_lva-ID-1,Ca,1
939,102288_ICaL-ID-1,102288_ICaL-ID-1,Ca,1
947,102288_ICaT-ID-1,102288_ICaT-ID-1,Ca,1
965,147218_cap-ID-1,147218_cap-ID-1,Ca,1
982,97860_Ca-ID-1,97860_Ca-ID-1,Ca,1
998,123897_ca-ID-1,123897_ca-ID-1,Ca,3
1012,168310_cancr-ID-1,168310_cancr-ID-1,Ca,5
1044,229585_Cav3_3-ID-1,229585_Cav3_3-ID-1,Ca,2
1045,229585_Cav3_2-ID-1,229585_Cav3_2-ID-1,Ca,2
1046,229585_Cav2_1-ID-1,229585_Cav2_1-ID-1,Ca,2
1051,124513_nca-ID-1,124513_nca-ID-1,Ca,1
1061,2488_ca-ID-1,2488_ca-ID-1,Ca,1
1099,82784_HVA-ID-1,82784_HVA-ID-1,Ca,1
1114,20756_cat-ID-1,20756_cat-ID-1,Ca,5
1129,168858_cal-ID-1,168858_cal-ID-1,Ca,1
1176,53876_hva-ID-1,53876_hva-ID-1,Ca,1
1179,53876_lva-ID-1,53876_lva-ID-1,Ca,1
1180,53876_caleak-ID-1,53876_caleak-ID-1,Ca,1
1256,112685_Golgi_Ca_LVA-ID-1,112685_Golgi_Ca_LVA-ID-1,Ca,3
